id_colaborador,matricula,nome_colaborador,sexo,data_nascimento,data_admissao,data_desligamento,status_colaborador,tipo_desligamento,id_area,id_cargo,id_gestor,id_unidade
52,MAT00052,Thiago Caldeira,Feminino,1981-05-26,2018-01-09,,Ativo,,2,3,59,5
53,MAT00053,Letícia Porto,Masculino,1970-11-23,2022-09-29,,Ativo,,5,5,63,3
54,MAT00054,Fernanda Cassiano,Feminino,1987-04-02,2020-02-17,,Ativo,,4,2,75,12
55,MAT00055,Sr. Vitor Hugo Vasconcelos,Masculino,2002-12-11,2024-01-30,,Ativo,,2,4,8,1
56,MAT00056,Agatha Peixoto,Feminino,1975-09-28,2024-07-20,,Ativo,,4,5,68,3
57,MAT00057,Dr. Antony Camargo,Feminino,1973-02-28,2018-08-21,,Ativo,,3,2,24,2
58,MAT00058,Dr. Isaque Araújo,Masculino,2001-11-28,2024-09-03,2025-04-01,Desligado,Involuntário,1,3,52,2
59,MAT00059,Bruno Barros,Feminino,1990-10-20,2024-05-22,2024-09-09,Desligado,Involuntário,7,2,80,2
60,MAT00060,Sra. Ana Lívia Teixeira,Feminino,1968-10-17,2022-09-14,,Ativo,,8,7,41,15
61,MAT00061,Carolina Cardoso,Feminino,1992-11-23,2020-12-04,,Ativo,,2,4,41,4
62,MAT00062,Olívia Novaes,Feminino,1980-03-22,2020-12-23,,Ativo,,4,7,39,8
63,MAT00063,João Moura,Feminino,2001-01-15,2021-07-19,,Ativo,,1,3,80,10
64,MAT00064,Mariana Cunha,Masculino,2001-09-07,2019-02-14,,Ativo,,3,6,65,5
65,MAT00065,Gabriela Silva,Masculino,1983-02-08,2019-06-27,,Ativo,,5,4,48,5
66,MAT00066,Murilo Rios,Feminino,1977-09-23,2019-10-09,,Ativo,,6,6,39,10
67,MAT00067,Maria Fernanda Macedo,Masculino,1972-01-22,2025-05-02,,Ativo,,3,5,71,5
68,MAT00068,Milena Campos,Feminino,1999-03-09,2025-06-10,,Ativo,,6,6,15,15
69,MAT00069,Henry Gabriel Azevedo,Feminino,1970-03-09,2019-03-15,2022-08-10,Desligado,Voluntário,1,2,78,4
70,MAT00070,Sr. Yuri da Conceição,Masculino,1992-11-21,2021-11-05,2023-07-28,Desligado,Voluntário,2,2,65,8
71,MAT00071,Hellena Abreu,Masculino,2002-02-21,2020-10-25,,Ativo,,2,1,55,14
72,MAT00072,Bento da Conceição,Feminino,2003-01-11,2021-02-07,2025-09-03,Desligado,Voluntário,1,3,17,11
73,MAT00073,Arthur Gabriel Farias,Masculino,1995-12-15,2020-12-08,,Ativo,,4,4,71,12
74,MAT00074,Théo da Costa,Feminino,1970-01-04,2022-10-18,,Ativo,,3,3,10,15
75,MAT00075,Ryan Cunha,Masculino,1971-01-27,2019-09-03,2024-01-22,Desligado,Involuntário,3,2,75,9
76,MAT00076,Caroline Silveira,Feminino,1978-03-02,2019-08-30,,Ativo,,5,5,40,6
77,MAT00077,Olívia da Cruz,Masculino,1983-04-22,2018-06-13,,Ativo,,2,2,32,11
78,MAT00078,Maria Luísa Correia,Feminino,1983-09-28,2019-02-26,,Ativo,,2,4,53,10
79,MAT00079,Calebe Ribeiro,Feminino,1990-03-26,2019-09-26,,Ativo,,4,4,23,15
80,MAT00080,Maria Lima,Feminino,2004-03-24,2022-08-16,2024-09-24,Desligado,Voluntário,5,3,53,13
81,MAT00081,Nina Siqueira,Feminino,1988-03-26,2020-10-13,,Ativo,,7,3,14,7
82,MAT00082,Carlos Eduardo Araújo,Feminino,1975-04-07,2018-06-08,2023-11-04,Desligado,Voluntário,3,4,45,5
83,MAT00083,Maitê Caldeira,Masculino,1991-01-22,2020-07-21,2021-11-18,Desligado,Voluntário,4,4,52,6
84,MAT00084,Gael Correia,Feminino,2001-05-12,2021-02-15,,Ativo,,3,6,66,7
85,MAT00085,Melissa Carvalho,Masculino,1984-01-04,2024-01-06,2024-12-28,Desligado,Voluntário,1,3,23,10
86,MAT00086,Emilly da Mota,Feminino,2003-02-20,2020-12-23,,Ativo,,4,3,56,6
87,MAT00087,Isadora Barbosa,Masculino,1978-10-17,2021-07-08,,Ativo,,4,7,15,7
88,MAT00088,Beatriz Aragão,Feminino,1993-05-02,2024-06-19,2025-09-14,Desligado,Voluntário,7,1,56,1
89,MAT00089,Ágatha Albuquerque,Masculino,1971-11-24,2023-10-31,2025-12-15,Desligado,Voluntário,1,3,26,6
90,MAT00090,Isaac Cavalcante,Feminino,2001-11-11,2022-11-02,,Ativo,,1,3,80,6
91,MAT00091,Raquel Mendes,Masculino,1998-12-10,2025-06-10,,Ativo,,5,5,65,5
92,MAT00092,Murilo Araújo,Masculino,1979-06-13,2025-06-24,,Ativo,,6,3,38,9
93,MAT00093,Mateus Abreu,Feminino,1993-07-22,2019-06-06,,Ativo,,6,8,49,11
94,MAT00094,Julia Viana,Masculino,1969-05-13,2019-12-14,,Ativo,,6,3,71,14
95,MAT00095,Laura Lima,Feminino,1986-05-07,2018-01-02,,Ativo,,3,5,56,13
96,MAT00096,Dra. Raquel Cassiano,Feminino,1967-11-11,2024-07-03,,Ativo,,7,2,60,8
97,MAT00097,Juan Cunha,Feminino,1992-09-16,2022-12-17,2025-06-06,Desligado,Involuntário,7,2,22,11
98,MAT00098,Vitor Hugo Araújo,Feminino,1987-09-22,2018-12-14,,Ativo,,2,4,80,6
99,MAT00099,Sra. Ana Laura Aragão,Feminino,1990-11-10,2019-01-18,,Ativo,,4,4,29,13
100,MAT00100,Pietra Montenegro,Masculino,1996-01-02,2020-03-26,,Ativo,,5,6,32,8
101,MAT00101,Eduarda Araújo,Feminino,2001-08-14,2024-11-08,2025-12-25,Desligado,Voluntário,1,2,74,4
102,MAT00102,Anna Liz Cirino,Masculino,1974-07-08,2022-04-22,2023-05-19,Desligado,Voluntário,7,2,1,15
103,MAT00103,Bernardo Rocha,Feminino,1978-04-06,2019-03-13,2025-04-01,Desligado,Involuntário,4,2,60,1
104,MAT00104,Nathan Campos,Masculino,1990-02-15,2024-04-02,2024-11-14,Desligado,Voluntário,6,5,60,11
105,MAT00105,Isadora Pacheco,Masculino,1970-10-11,2023-12-16,,Ativo,,2,2,57,10
106,MAT00106,Ana Cecília Pinto,Feminino,1978-09-15,2023-08-30,,Ativo,,8,5,21,12
107,MAT00107,Otto Ribeiro,Masculino,1977-05-25,2023-04-29,,Ativo,,6,4,32,14
108,MAT00108,Stephany Dias,Feminino,1988-09-16,2025-02-24,2025-11-01,Desligado,Voluntário,1,2,31,5
109,MAT00109,Gustavo Rios,Masculino,2001-12-10,2022-12-07,,Ativo,,1,1,31,5
110,MAT00110,Sra. Isabella da Luz,Feminino,1985-09-03,2021-10-07,,Ativo,,4,7,18,3
111,MAT00111,Caroline Rios,Feminino,1981-12-05,2020-08-05,,Ativo,,7,1,28,2
112,MAT00112,Letícia Marques,Feminino,1979-06-18,2022-08-27,,Ativo,,8,2,60,7
113,MAT00113,Sr. Anthony Marques,Masculino,1992-07-13,2018-09-13,,Ativo,,8,2,75,12
114,MAT00114,Beatriz Barbosa,Feminino,1969-07-16,2018-03-22,,Ativo,,3,4,1,6
115,MAT00115,Hadassa Montenegro,Feminino,1981-07-18,2021-05-08,,Ativo,,4,4,70,13
116,MAT00116,Davi Lucca Ferreira,Feminino,1991-08-08,2024-10-06,,Ativo,,2,4,35,7
117,MAT00117,Joaquim Freitas,Feminino,2004-07-11,2023-06-13,,Ativo,,4,3,52,12
118,MAT00118,Emanuel Macedo,Masculino,1976-03-20,2019-11-08,2020-05-26,Desligado,Involuntário,2,2,51,10
119,MAT00119,Liz Pimenta,Masculino,2004-02-21,2024-04-30,,Ativo,,5,5,55,3
120,MAT00120,Vitória Albuquerque,Masculino,1994-01-09,2023-03-07,,Ativo,,5,4,49,6
121,MAT00121,Letícia Ribeiro,Feminino,1976-06-11,2020-05-16,,Ativo,,8,5,49,5
122,MAT00122,Davi Luiz da Luz,Feminino,1989-02-16,2022-09-23,2023-01-30,Desligado,Voluntário,7,4,70,1
123,MAT00123,Cauê Souza,Masculino,1991-11-03,2021-12-04,,Ativo,,6,8,6,13
124,MAT00124,Daniela da Mata,Masculino,1990-04-27,2018-05-08,,Ativo,,2,4,3,10
125,MAT00125,Gustavo Henrique Silva,Feminino,1990-03-16,2019-09-17,,Ativo,,3,4,15,10
126,MAT00126,Sr. João Montenegro,Masculino,1976-12-09,2020-06-11,,Ativo,,7,3,48,3
127,MAT00127,Isis Aragão,Masculino,1967-12-23,2024-10-17,,Ativo,,4,5,15,13
128,MAT00128,Otávio da Mota,Masculino,1986-02-19,2019-11-02,2020-05-15,Desligado,Involuntário,2,2,40,10
129,MAT00129,Alexandre Farias,Feminino,1980-12-07,2022-03-18,,Ativo,,2,3,10,10
130,MAT00130,João Castro,Masculino,1990-02-23,2025-01-13,,Ativo,,1,3,39,14
131,MAT00131,Sra. Mariane Novais,Feminino,1998-10-26,2024-09-25,,Ativo,,3,6,6,6
132,MAT00132,Daniel Barbosa,Masculino,1978-11-12,2023-12-23,2024-05-31,Desligado,Voluntário,7,2,65,11
133,MAT00133,Srta. Ísis Andrade,Feminino,2005-07-27,2021-10-29,,Ativo,,4,5,63,2
134,MAT00134,Sr. Pedro Cardoso,Feminino,1982-11-27,2022-11-11,,Ativo,,1,2,59,12
135,MAT00135,Leandro Fonseca,Feminino,1978-03-24,2019-09-19,,Ativo,,3,7,67,11
136,MAT00136,Luiz Henrique Costela,Masculino,1971-08-15,2021-01-11,,Ativo,,6,3,56,14
137,MAT00137,Isadora Rios,Feminino,1988-06-28,2024-08-23,,Ativo,,8,2,32,14
138,MAT00138,Luiz Gustavo Vasconcelos,Feminino,1988-08-08,2018-12-21,,Ativo,,2,2,60,10
139,MAT00139,Maria Luísa Pinto,Feminino,1981-06-01,2024-11-04,,Ativo,,2,3,64,14
140,MAT00140,Srta. Isabela Castro,Masculino,1994-08-07,2021-08-24,2023-11-18,Desligado,Voluntário,1,1,34,6
141,MAT00141,Noah Alves,Feminino,1967-12-09,2021-02-19,,Ativo,,1,2,72,1
142,MAT00142,Lucas Gabriel Viana,Feminino,1993-02-08,2023-10-18,,Ativo,,5,4,53,8
143,MAT00143,Isadora da Mata,Feminino,1990-12-16,2024-03-24,2025-11-06,Desligado,Voluntário,1,2,58,13
144,MAT00144,Cauê Garcia,Feminino,2000-05-08,2018-03-12,,Ativo,,3,3,52,12
145,MAT00145,Ravy Câmara,Masculino,1986-11-19,2020-09-23,,Ativo,,5,3,48,8
146,MAT00146,Raul Ferreira,Feminino,1972-06-14,2024-03-17,,Ativo,,1,4,71,6
147,MAT00147,Ian Câmara,Feminino,1976-05-10,2021-12-12,,Ativo,,2,3,33,4
148,MAT00148,Gael Guerra,Masculino,1993-06-04,2019-05-10,,Ativo,,1,2,69,13
149,MAT00149,Dr. Bernardo Vargas,Feminino,1993-04-24,2020-01-29,,Ativo,,2,2,62,5
150,MAT00150,Luiz Fernando Ramos,Feminino,1972-10-10,2024-08-11,,Ativo,,2,3,13,14
151,MAT00151,Maria Liz Rocha,Feminino,1987-04-12,2020-03-06,,Ativo,,3,2,23,5
152,MAT00152,Luísa Alves,Feminino,1971-03-09,2018-02-27,,Ativo,,2,2,6,1
153,MAT00153,José Pedro Cavalcanti,Feminino,1987-12-05,2024-03-16,,Ativo,,2,1,63,2
154,MAT00154,Julia Andrade,Masculino,1969-05-16,2018-02-20,,Ativo,,7,2,62,8
155,MAT00155,Pedro Henrique Ferreira,Masculino,1994-01-09,2021-10-27,,Ativo,,3,2,62,2
156,MAT00156,Sra. Maya Pereira,Feminino,1980-08-03,2018-09-25,2025-06-13,Desligado,Voluntário,5,5,7,3
157,MAT00157,Bruna Gomes,Masculino,1969-05-03,2019-09-04,,Ativo,,5,5,32,2
158,MAT00158,Esther da Cunha,Feminino,1979-10-20,2024-04-04,,Ativo,,4,3,80,4
159,MAT00159,Pedro Henrique Abreu,Feminino,1981-08-15,2023-11-11,2024-12-09,Desligado,Voluntário,2,1,76,7
160,MAT00160,Zoe Rodrigues,Feminino,1969-10-02,2021-06-04,,Ativo,,7,1,79,12
161,MAT00161,Dra. Fernanda Fonseca,Masculino,1992-11-07,2019-02-11,,Ativo,,8,2,34,11
162,MAT00162,Ana Lívia Rios,Feminino,1995-04-06,2018-11-29,,Ativo,,7,3,71,2
163,MAT00163,Dr. Davi Silveira,Feminino,2005-07-15,2019-10-04,,Ativo,,5,7,77,8
164,MAT00164,Thiago das Neves,Feminino,2003-04-10,2021-04-07,2025-06-22,Desligado,Voluntário,2,3,37,12
165,MAT00165,Maria Luísa Duarte,Feminino,2001-11-08,2023-02-03,2025-12-05,Desligado,Voluntário,3,3,34,13
166,MAT00166,Laís Novaes,Feminino,1968-11-26,2025-01-04,,Ativo,,4,2,26,7
167,MAT00167,Gael Leão,Masculino,1971-04-21,2019-04-16,2021-03-16,Desligado,Voluntário,1,2,35,14
168,MAT00168,Maria Helena Rocha,Masculino,2001-01-06,2019-08-06,,Ativo,,2,3,40,10
169,MAT00169,Srta. Liz Guerra,Feminino,1987-08-04,2024-05-20,,Ativo,,6,4,60,12
170,MAT00170,Agatha da Rosa,Masculino,1980-05-17,2021-05-30,,Ativo,,2,4,70,8
171,MAT00171,Gustavo Henrique Lopes,Feminino,2000-10-02,2022-11-29,,Ativo,,1,3,56,12
172,MAT00172,Luna Martins,Masculino,1967-05-01,2021-08-13,,Ativo,,1,3,12,4
173,MAT00173,Melina Rocha,Feminino,1968-01-25,2024-06-14,2025-08-22,Desligado,Voluntário,1,3,35,10
174,MAT00174,Thomas Melo,Feminino,1994-08-17,2018-06-14,,Ativo,,6,5,57,15
175,MAT00175,Srta. Antonella da Paz,Feminino,1994-10-14,2021-02-13,,Ativo,,7,2,63,2
176,MAT00176,Lívia Borges,Masculino,1983-07-11,2023-04-10,,Ativo,,2,2,42,11
177,MAT00177,Leonardo Câmara,Feminino,1995-06-14,2019-03-05,,Ativo,,3,3,64,5
178,MAT00178,Diogo Alves,Feminino,1980-09-02,2025-06-06,,Ativo,,4,7,59,2
179,MAT00179,Joaquim Melo,Feminino,1989-06-04,2021-07-12,,Ativo,,7,3,52,14
180,MAT00180,Ana Sophia Marques,Masculino,2005-11-28,2023-10-09,,Ativo,,6,4,70,8
181,MAT00181,Evelyn Silva,Feminino,2002-04-17,2022-08-20,,Ativo,,6,2,47,10
182,MAT00182,Sra. Sabrina Guerra,Masculino,1977-01-07,2023-08-04,,Ativo,,5,3,35,9
183,MAT00183,Diogo Rezende,Feminino,1987-08-23,2019-06-21,,Ativo,,7,2,63,2
184,MAT00184,Srta. Bianca Vasconcelos,Masculino,1967-04-23,2018-04-29,,Ativo,,7,1,21,5
185,MAT00185,Hellena Cavalcanti,Masculino,2005-09-14,2024-03-06,,Ativo,,1,1,12,4
186,MAT00186,Dra. Nicole Aragão,Feminino,1976-02-21,2019-04-10,,Ativo,,5,5,20,8
187,MAT00187,Isadora Campos,Masculino,1973-12-09,2021-04-10,,Ativo,,2,1,54,14
188,MAT00188,Catarina Martins,Feminino,1975-04-15,2023-05-31,,Ativo,,3,4,71,3
189,MAT00189,Vitória Novais,Feminino,1993-10-17,2022-04-21,,Ativo,,4,4,18,14
190,MAT00190,Luiza Sá,Masculino,1988-07-11,2018-10-13,,Ativo,,7,4,65,5
191,MAT00191,Sofia Lima,Masculino,1987-12-10,2018-01-11,2024-11-09,Desligado,Voluntário,7,3,75,11
192,MAT00192,Melissa Castro,Masculino,1996-08-18,2023-06-29,,Ativo,,3,5,62,6
193,MAT00193,Sra. Milena da Luz,Masculino,1970-09-13,2021-09-23,,Ativo,,3,2,59,15
194,MAT00194,João Guilherme Vargas,Feminino,1993-12-08,2021-08-11,,Ativo,,1,4,74,7
195,MAT00195,Raquel Pires,Masculino,1979-01-11,2020-08-14,2025-01-15,Desligado,Voluntário,4,3,61,12
196,MAT00196,João Guilherme Macedo,Feminino,1981-11-26,2022-04-11,,Ativo,,1,2,20,8
197,MAT00197,João Pedro da Costa,Masculino,1997-09-19,2018-06-01,,Ativo,,7,2,43,14
198,MAT00198,Lucas Gabriel Dias,Feminino,1977-02-17,2019-02-16,,Ativo,,3,3,59,1
199,MAT00199,Anna Liz Carvalho,Masculino,1979-11-05,2019-08-14,,Ativo,,1,2,10,8
200,MAT00200,Igor Gomes,Feminino,1984-10-23,2020-12-21,,Ativo,,2,2,51,11
201,MAT00201,Srta. Hadassa Azevedo,Feminino,1984-11-28,2018-11-25,,Ativo,,5,4,69,7
202,MAT00202,Maria Luísa Farias,Feminino,1974-09-02,2021-07-21,,Ativo,,3,2,80,2
203,MAT00203,Nina Leão,Feminino,1987-04-24,2020-08-19,,Ativo,,4,2,12,7
204,MAT00204,Gustavo Leão,Feminino,1999-08-06,2019-02-08,2022-09-16,Desligado,Voluntário,7,1,4,1
205,MAT00205,Alícia Teixeira,Feminino,2002-05-12,2021-08-21,,Ativo,,4,2,48,7
206,MAT00206,Maria Helena Mendes,Feminino,1990-09-14,2019-08-20,,Ativo,,3,4,73,11
207,MAT00207,Luiz Gustavo da Rosa,Masculino,1995-03-03,2020-01-08,,Ativo,,1,1,79,14
208,MAT00208,Mariah Nascimento,Feminino,1990-08-19,2022-04-16,,Ativo,,2,2,19,4
209,MAT00209,Dra. Ísis Pereira,Masculino,1989-08-09,2023-03-04,,Ativo,,1,1,2,15
210,MAT00210,Ryan Câmara,Feminino,1987-11-18,2023-03-21,2023-11-27,Desligado,Involuntário,1,1,10,8
211,MAT00211,Pedro Henrique Mendonça,Feminino,1968-05-21,2021-11-16,2024-07-01,Desligado,Involuntário,1,3,33,8
212,MAT00212,Mathias Fernandes,Masculino,1993-07-28,2021-05-22,,Ativo,,1,1,62,2
213,MAT00213,Maria Luiza Silveira,Feminino,1981-10-12,2020-08-29,,Ativo,,6,3,74,5
214,MAT00214,Ravi Lucca Cardoso,Feminino,2004-11-13,2021-04-24,2023-02-05,Desligado,Voluntário,2,4,2,10
215,MAT00215,Yasmin Alves,Feminino,1967-12-16,2018-07-20,,Ativo,,1,1,37,13
216,MAT00216,Amanda Barros,Feminino,1967-06-08,2020-07-31,,Ativo,,7,3,25,10
217,MAT00217,Mariane Carvalho,Masculino,1997-11-04,2020-10-23,,Ativo,,2,2,6,5
218,MAT00218,Emilly Aragão,Feminino,2003-10-12,2022-12-11,,Ativo,,3,4,17,2
219,MAT00219,Mateus Duarte,Masculino,1985-12-14,2021-04-23,,Ativo,,8,5,23,4
220,MAT00220,Rafael Duarte,Feminino,1971-06-17,2019-06-26,,Ativo,,3,6,65,15
221,MAT00221,Dr. João Lucas Sá,Masculino,1995-05-27,2021-01-21,,Ativo,,1,2,62,13
222,MAT00222,Isis Barros,Masculino,1984-02-15,2021-04-23,,Ativo,,2,1,10,3
223,MAT00223,Allana Souza,Feminino,1980-09-12,2020-07-13,,Ativo,,3,2,12,13
224,MAT00224,Ana Júlia Ferreira,Feminino,2005-05-18,2022-06-05,,Ativo,,7,1,16,8
225,MAT00225,Bernardo Vasconcelos,Feminino,1989-10-13,2022-02-18,,Ativo,,4,5,48,2
226,MAT00226,Ana Cecília Sá,Masculino,1975-01-20,2020-08-15,,Ativo,,1,1,72,6
227,MAT00227,Josué Costa,Feminino,1991-11-03,2024-11-03,,Ativo,,4,4,60,15
228,MAT00228,Eduardo da Costa,Feminino,1979-02-05,2021-05-22,,Ativo,,7,2,6,1
229,MAT00229,Renan Rios,Feminino,1974-02-04,2021-05-31,,Ativo,,1,1,31,15
230,MAT00230,Henrique Martins,Feminino,1997-07-15,2024-01-11,,Ativo,,4,3,48,11
231,MAT00231,Sra. Maria Eduarda Cavalcante,Feminino,1979-10-24,2024-01-22,,Ativo,,2,3,20,15
232,MAT00232,Bruna Vasconcelos,Masculino,1999-08-20,2022-08-27,,Ativo,,3,5,53,5
233,MAT00233,Leonardo Caldeira,Masculino,1982-04-15,2018-05-15,,Ativo,,1,1,57,4
234,MAT00234,Amanda das Neves,Feminino,1999-11-12,2022-01-25,,Ativo,,1,2,70,15
235,MAT00235,Maria Flor Gonçalves,Feminino,1983-01-13,2025-03-26,2025-09-02,Desligado,Involuntário,6,2,25,2
236,MAT00236,Srta. Ana Vitória Pastor,Masculino,2000-11-07,2023-02-06,,Ativo,,5,5,77,1
237,MAT00237,Dra. Isabelly Caldeira,Masculino,1984-04-05,2018-07-27,,Ativo,,6,5,73,4
238,MAT00238,Sra. Bárbara Vieira,Feminino,1970-04-19,2018-10-09,,Ativo,,2,1,28,14
239,MAT00239,Ana Cecília Ferreira,Feminino,1984-03-26,2020-08-12,,Ativo,,8,4,77,1
240,MAT00240,Mariane Ribeiro,Masculino,1996-03-18,2021-02-09,,Ativo,,7,3,33,13
241,MAT00241,Sr. Thiago Ramos,Feminino,1998-11-28,2019-12-16,,Ativo,,5,6,4,3
242,MAT00242,Sr. Otto Mendonça,Feminino,1983-04-19,2018-03-02,,Ativo,,2,4,42,1
243,MAT00243,Pedro Fonseca,Feminino,1989-01-05,2019-12-15,,Ativo,,5,7,54,9
244,MAT00244,Natália Santos,Feminino,2001-08-15,2019-04-11,,Ativo,,7,1,47,9
245,MAT00245,Pedro Henrique Cavalcanti,Feminino,1999-08-17,2024-08-28,,Ativo,,7,4,29,10
246,MAT00246,Dra. Júlia Pimenta,Masculino,1972-05-15,2018-06-27,,Ativo,,7,3,4,1
247,MAT00247,Rafaela Martins,Feminino,1980-07-22,2023-05-16,2023-12-02,Desligado,Voluntário,1,2,63,12
248,MAT00248,Juliana Duarte,Feminino,2001-02-11,2022-12-22,,Ativo,,5,4,78,3
249,MAT00249,Caio da Mota,Feminino,1997-05-20,2018-09-27,,Ativo,,2,2,75,9
250,MAT00250,Isabelly Sá,Feminino,1981-10-17,2021-08-24,,Ativo,,4,6,38,8
251,MAT00251,Maria Helena Fernandes,Feminino,1967-07-04,2023-09-02,2025-11-18,Desligado,Involuntário,1,4,15,14
252,MAT00252,Thales Duarte,Feminino,1970-12-28,2025-05-05,,Ativo,,7,3,28,7
253,MAT00253,Ryan Cunha,Masculino,1991-07-11,2023-01-24,,Ativo,,6,4,59,7
